code_system,code,code_description,code_lay_term,code_range_1,code_range_1_description,code_range_2,code_range_2_description,code_range_3,code_range_3_description,code_range_4,code_range_4_description,code_range_5,code_range_5_description,code_range_6,code_range_6_description
HCPCS,A4246,"Betadine or pHisoHex solution, per pint",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4247,"Betadine or iodine swabs/wipes, per box",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4248,"Chlorhexidine containing antiseptic, 1 ml",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4250,Urine test or reagent strips or tablets (100 tablets or strips),,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4252,"Blood ketone test or reagent strip, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4255,"Platforms for home blood glucose monitor, 50 per box",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4256,"Normal, low and high calibrator solution / chips",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4257,"Replacement lens shield cartridge for use with laser skin piercing device, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4258,"Spring-powered device for lancet, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4259,"Lancets, per box of 100",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4261,Cervical cap for contraceptive use,,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4262,"Temporary, absorbable lacrimal duct implant, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4263,"Permanent, long term, non-dissolvable lacrimal duct implant, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4264,Permanent implantable contraceptive intratubal occlusion device(s) and delivery system,,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4265,"Paraffin, per pound",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4266,Diaphragm for contraceptive use,,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4267,"Contraceptive supply, condom, male, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4268,"Contraceptive supply, condom, female, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4269,"Contraceptive supply, spermicide (e.g., foam, gel), each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4270,"Disposable endoscope sheath, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
